Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
32000,2.1216142,250.0,0.12843274,25.280033707618713,25.280033707618713,1.0
33000,2.1181872,101.88888888888889,0.17668569,12.673971123165554,12.673971123165554,1.0
34000,2.1260886,148.33333333333334,0.08380304,18.047220647335052,18.047220647335052,1.0
35000,2.1318607,137.0,0.13369183,17.703354001045227,17.703354001045227,1.0
36000,2.1282241,100.18181818181819,0.13014668,11.701398381590844,11.701398381590844,1.0
37000,2.1222138,117.75,0.14858107,12.99023777908749,12.99023777908749,1.0
38000,2.123991,207.5,0.23153907,27.749145686626434,27.749145686626434,1.0
39000,2.1187952,154.0,0.15566273,18.432918414473534,18.432918414473534,1.0
40000,2.1180654,89.6,0.1321856,9.946504127979278,9.946504127979278,1.0
41000,2.1223414,132.33333333333334,0.21249911,16.2599040667216,16.2599040667216,1.0
42000,2.0858796,191.8,0.44379967,21.778195452690124,21.778195452690124,1.0
43000,2.0743845,169.8,0.36449432,23.94344174861908,23.94344174861908,1.0
44000,2.08677,19.0,0.5587395,7.211699187755585,7.211699187755585,1.0
45000,2.0742874,787.0,0.5349145,126.48393845558167,126.48393845558167,1.0
46000,2.0806732,369.0,0.40162075,57.212070882320404,57.212070882320404,1.0
47000,2.073908,287.0,0.6346331,45.77620244026184,45.77620244026184,1.0
48000,2.0685291,191.5,0.41560397,28.201605081558228,28.201605081558228,1.0
49000,2.06127,392.5,0.6050023,60.25222730636597,60.25222730636597,1.0
50000,2.079343,336.5,0.37169152,50.393428444862366,50.393428444862366,1.0
51000,2.068557,360.75,0.41248098,44.21098152796427,44.21098152796427,1.0
52000,2.0611446,151.33333333333334,0.7011692,35.358444571495056,35.358444571495056,1.0
53000,2.0318503,415.0,1.0089228,75.16727352142334,75.16727352142334,1.0
54000,2.0138311,None,0.9466722,None,None,1.0
55000,2.0349889,741.3333333333334,0.9943916,133.34903836250305,133.34903836250305,1.0
56000,2.0307577,999.0,1.0526819,181.805757522583,181.805757522583,1.0
57000,2.0183592,160.0,0.9563105,24.888511578241985,24.888511578241985,1.0
58000,2.0323884,416.6666666666667,0.99451816,102.26943159103394,102.26943159103394,1.0
59000,2.0212018,595.6666666666666,0.9365935,84.438032746315,84.438032746315,1.0
60000,2.0217633,None,1.0026729,None,None,1.0
61000,2.0219615,801.0,0.89013124,139.34883832931519,139.34883832931519,1.0
62000,2.0185869,999.0,1.2229207,192.1537470817566,192.1537470817566,1.0
