Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
58000,2.0747373,379.0,0.76552904,1.8346177,0.51324683,56.16101014614105,56.16101014614105,20.098858922719955,1.82767753303051,1.0
59000,2.0625873,427.5,0.863201,1.8142897,0.5160194,127.03169059753418,127.03169059753418,46.196930170059204,4.174959450960159,1.0
60000,2.068852,866.0,0.8856375,1.884266,0.5402634,63.05029380321503,63.05029380321503,28.09163522720337,2.3193981498479843,1.0
61000,2.0781682,360.5,0.86600447,1.7862154,0.5133307,64.72453467051189,64.72453467051189,21.812862555185955,2.4623542577028275,1.0
62000,2.0661163,196.2,0.86402804,1.9033909,0.52402043,27.84903625647227,27.84903625647227,11.718556448817253,1.0849198350527633,1.0
63000,2.0269012,291.0,1.0896635,2.1069984,0.5256418,45.69171676039696,45.69171676039696,10.723297029733658,1.1192200828809291,1.0
64000,2.022307,676.0,1.1100113,2.068925,0.5129506,113.36767840385437,113.36767840385437,19.799555778503418,2.359883651137352,1.0
65000,2.0333774,655.5,0.95599794,2.078173,0.51161873,118.21254134178162,118.21254134178162,17.251612566411495,1.896481788251549,1.0
66000,2.021194,542.0,0.9938396,2.115052,0.51915914,94.4159562587738,94.4159562587738,13.291761338710785,1.7327483026310802,1.0
67000,2.0434105,614.5,1.1291597,1.9781146,0.50519997,108.21966022253036,108.21966022253036,16.21210014820099,1.8659154810011387,1.0
68000,2.030279,369.5,1.1201388,1.9348772,0.4965254,63.45649936795235,63.45649936795235,9.809972539544106,1.1104411548003554,1.0
69000,2.0370321,335.0,1.0274348,1.9897476,0.50647044,53.74749445915222,53.74749445915222,10.023320396741232,1.1007494162768126,1.0
70000,2.0385077,332.5,1.148738,1.9675306,0.5126361,58.4774603843689,58.4774603843689,8.006828546524048,0.8512745457701385,1.0
71000,2.030659,209.0,1.0935391,2.0971482,0.52743715,31.939117829004925,31.939117829004925,4.799442460139592,0.7563313873106381,1.0
72000,2.0236206,498.5,1.1122905,1.9769229,0.51103514,84.16671645641327,84.16671645641327,11.714268624782562,1.7322990717366338,1.0
73000,1.9959524,442.3333333333333,1.5159785,2.018179,0.47818992,79.47872837384541,79.47872837384541,8.64763938387235,1.2978667846570413,1.0
74000,1.9865688,421.0,1.5448277,2.05276,0.48366985,72.90267872810364,72.90267872810364,6.451447010040283,1.1112266555428505,1.0
75000,1.9798611,565.0,1.5179065,2.1017761,0.48053253,109.36648273468018,109.36648273468018,7.306578278541565,0.9323103167116642,1.0
76000,1.9966495,702.0,1.4819937,2.140682,0.49812323,128.12419748306274,128.12419748306274,9.500129610300064,1.583411380648613,1.0
77000,1.9923779,593.0,1.5112469,2.0351772,0.4735911,117.90120792388916,117.90120792388916,8.262687087059021,0.7473631743341684,1.0
