Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
34000,1.9501907,5.0520506,131.33333333333334,2.0414211253325143,2.0414211253325143,1.0
35000,1.9630448,5.379541,217.33333333333334,5.228743869066238,5.228743869066238,1.0
36000,1.9604539,5.3064556,165.66666666666666,3.6440975219011307,3.6440975219011307,1.0
37000,1.989903,5.2065525,301.8,7.388786900043487,7.388786900043487,1.0
38000,1.977482,5.3350964,214.0,6.375869601964951,6.375869601964951,1.0
39000,1.9414537,5.361878,321.5,7.508381396532059,7.508381396532059,1.0
40000,1.8944304,5.086865,240.5,0.645197719335556,0.645197719335556,1.0
41000,1.9419847,5.187302,211.33333333333334,-0.8438723087310791,-0.8438723087310791,1.0
42000,1.96293,5.181641,450.75,-0.3777892179787159,-0.3777892179787159,1.0
43000,1.9763986,4.976373,180.8,4.899259087443352,4.899259087443352,1.0
44000,1.9840003,5.2322536,183.0,9.533691193908453,9.533691193908453,1.0
45000,2.015244,5.0595813,147.11111111111111,5.795702179272969,5.795702179272969,1.0
46000,2.00168,4.976229,98.625,3.1445893579059176,3.1445893579059176,1.0
47000,2.0168881,5.11498,244.2,8.61305646598339,8.61305646598339,1.0
48000,1.9611138,4.8605747,194.0,9.128222644329071,9.128222644329071,1.0
49000,2.0066764,5.0967317,264.4,6.313839519023896,6.313839519023896,1.0
50000,1.8596189,5.182344,224.66666666666666,22.568499207496643,22.568499207496643,1.0
51000,1.9227403,5.170714,473.3333333333333,7.998421274125576,7.998421274125576,1.0
52000,1.8956354,4.967912,293.6666666666667,6.6510505105058355,6.6510505105058355,1.0
53000,1.912956,5.1500745,282.0,15.37993311882019,15.37993311882019,1.0
54000,1.9983246,5.0240655,472.25,31.07775765657425,31.07775765657425,1.0
55000,1.9769957,4.9919877,189.0,15.83447698354721,15.83447698354721,1.0
56000,1.9741224,5.0054526,280.0,24.336958467960358,24.336958467960358,1.0
57000,1.9549588,5.122665,103.66666666666667,8.693270206451416,8.693270206451416,1.0
58000,1.941577,5.17829,162.0,12.636398553848267,12.636398553848267,1.0
59000,1.9682927,4.9386215,450.1666666666667,14.188168222705523,14.188168222705523,1.0
60000,2.0048487,4.983305,211.5,17.64740189909935,17.64740189909935,1.0
61000,1.9958189,4.956473,173.0,10.974323570728302,10.974323570728302,1.0
62000,2.0029387,4.972008,168.85714285714286,14.032966451985496,14.032966451985496,1.0
63000,1.9643916,5.2575183,146.0,18.617488622665405,18.617488622665405,1.0
64000,1.9644451,5.110239,352.3333333333333,37.75691191355387,37.75691191355387,1.0
65000,1.9607743,5.2230744,249.0,24.53888000547886,24.53888000547886,1.0
66000,1.945557,4.844464,160.0,16.98468640446663,16.98468640446663,1.0
67000,1.9448295,4.881434,185.33333333333334,16.24533188343048,16.24533188343048,1.0
68000,1.9782463,4.745503,592.5,22.34007938951254,22.34007938951254,1.0
69000,1.9758464,5.0675735,361.0,37.00162742137909,37.00162742137909,1.0
70000,1.9700054,5.302925,238.0,27.65248394012451,27.65248394012451,1.0
71000,1.9695015,5.0997915,317.25,26.262053035199642,26.262053035199642,1.0
72000,1.9692873,5.2183776,212.83333333333334,31.664920687675476,31.664920687675476,1.0
73000,1.9393935,5.438206,142.5,14.736549735069275,14.736549735069275,1.0
74000,1.9403086,5.207059,642.0,102.57661366462708,102.57661366462708,1.0
75000,1.9042437,5.144095,272.25,33.60878396034241,33.60878396034241,1.0
76000,1.9305348,5.0500154,304.4,35.91750394242505,35.91750394242505,1.0
77000,1.90322,4.911613,196.66666666666666,27.334015885988872,27.334015885988872,1.0
78000,1.9307429,4.858746,280.1666666666667,14.492430317401887,14.492430317401887,1.0
79000,1.9465485,5.406894,119.14285714285714,12.29681203195027,12.29681203195027,1.0
80000,1.8941572,5.1638227,184.0,19.37403392791748,19.37403392791748,1.0
81000,1.9276425,5.2238717,326.6666666666667,45.786418875058494,45.786418875058494,1.0
82000,1.9498754,5.341725,209.375,11.1561935916543,11.1561935916543,1.0
83000,1.9290333,5.4225016,None,5.666858196258545,5.666858196258545,1.0
84000,1.9496313,5.5253296,599.0,54.759672075510025,54.759672075510025,1.0
85000,1.9421624,5.567718,148.4,42.10467670361201,42.10467670361201,1.0
86000,1.9240619,5.240182,None,None,None,1.0
87000,1.9360923,5.270976,999.0,179.4806318283081,179.4806318283081,1.0
88000,1.9486507,5.273599,773.3333333333334,55.6168960010012,55.6168960010012,1.0
89000,1.9460118,5.8508983,426.0,None,None,1.0
90000,1.9533417,5.7879915,556.0,90.1170289516449,90.1170289516449,1.0
91000,1.956006,5.755417,354.75,60.627296447753906,60.627296447753906,1.0
92000,1.946164,5.5689464,499.0,29.90031312406063,29.90031312406063,1.0
93000,1.911208,5.9121647,232.0,107.76044821739197,107.76044821739197,1.0
94000,1.8848962,5.909461,441.3333333333333,76.63048561414082,76.63048561414082,1.0
